Well_ID,a_663
A1,0.028
B1,0.06
C1,0.052
D1,0.055
E1,0.106
F1,0.059
G1,0.074
H1,0.064
A2,0.032
B2,0.058
C2,0.051
D2,0.052
E2,0.111
F2,0.06
G2,0.083
H2,0.065
A3,0.028
B3,0.059
C3,0.053
D3,0.051
E3,0.111
F3,0.062
G3,0.082
H3,0.072
A4,0.047
B4,0.081
C4,0.06
D4,0.063
E4,0.059
F4,0.048
G4,0.083
H4,0.07
A5,0.051
B5,0.084
C5,0.063
D5,0.07
E5,0.06
F5,0.048
G5,0.086
H5,0.078
A6,0.049
B6,0.085
C6,0.067
D6,0.068
E6,0.06
F6,0.05
G6,0.085
H6,0.074
A7,0.07
B7,0.093
C7,0.065
D7,0.061
E7,0.063
F7,0.062
G7,0.06
H7,0.031
A8,0.071
B8,0.096
C8,0.052
D8,0.06
E8,0.07
F8,0.065
G8,0.067
H8,0.031
A9,0.081
B9,0.093
C9,0.053
D9,0.063
E9,0.065
F9,0.064
G9,0.065
H9,0.029
A10,0.063
B10,0.077
C10,0.054
D10,0.085
E10,0.073
F10,0.066
G10,0.092
H10,0.029
A11,0.068
B11,0.085
C11,0.055
D11,0.097
E11,0.083
F11,0.072
G11,0.099
H11,0.032
A12,0.066
B12,0.082
C12,0.051
D12,0.092
E12,0.077
F12,0.07
G12,0.097
H12,0.029
,
Well,663
A1,0.028
B1,0.06
C1,0.052
D1,0.055
E1,0.106
F1,0.059
G1,0.074
H1,0.064
A2,0.032
B2,0.058
C2,0.051
D2,0.052
E2,0.111
F2,0.06
G2,0.083
H2,0.065
A3,0.028
B3,0.059
C3,0.053
D3,0.051
E3,0.111
F3,0.062
G3,0.082
H3,0.072
A4,0.047
B4,0.081
C4,0.06
D4,0.063
E4,0.059
F4,0.048
G4,0.083
H4,0.07
A5,0.051
B5,0.084
C5,0.063
D5,0.07
E5,0.06
F5,0.048
G5,0.086
H5,0.078
A6,0.049
B6,0.085
C6,0.067
D6,0.068
E6,0.06
F6,0.05
G6,0.085
H6,0.074
A7,0.07
B7,0.093
C7,0.065
D7,0.061
E7,0.063
F7,0.062
G7,0.06
H7,0.031
A8,0.071
B8,0.096
C8,0.052
D8,0.06
E8,0.07
F8,0.065
G8,0.067
H8,0.031
A9,0.081
B9,0.093
C9,0.053
D9,0.063
E9,0.065
F9,0.064
G9,0.065
H9,0.029
A10,0.063
B10,0.077
C10,0.054
D10,0.085
E10,0.073
F10,0.066
G10,0.092
H10,0.029
A11,0.068
B11,0.085
C11,0.055
D11,0.097
E11,0.083
F11,0.072
G11,0.099
H11,0.032
A12,0.066
B12,0.082
C12,0.051
D12,0.092
E12,0.077
F12,0.07
G12,0.097
H12,0.029
