Well_ID,a_630
A1,0.028
B1,0.04
C1,0.038
D1,0.042
E1,0.055
F1,0.039
G1,0.042
H1,0.041
A2,0.033
B2,0.036
C2,0.036
D2,0.037
E2,0.055
F2,0.039
G2,0.047
H2,0.041
A3,0.028
B3,0.036
C3,0.037
D3,0.036
E3,0.053
F3,0.041
G3,0.048
H3,0.048
A4,0.034
B4,0.046
C4,0.039
D4,0.038
E4,0.041
F4,0.035
G4,0.049
H4,0.041
A5,0.036
B5,0.045
C5,0.038
D5,0.044
E5,0.04
F5,0.034
G5,0.05
H5,0.047
A6,0.033
B6,0.046
C6,0.043
D6,0.041
E6,0.04
F6,0.036
G6,0.049
H6,0.043
A7,0.046
B7,0.05
C7,0.051
D7,0.044
E7,0.041
F7,0.04
G7,0.038
H7,0.031
A8,0.041
B8,0.051
C8,0.036
D8,0.041
E8,0.046
F8,0.041
G8,0.042
H8,0.031
A9,0.053
B9,0.052
C9,0.036
D9,0.043
E9,0.041
F9,0.04
G9,0.04
H9,0.029
A10,0.043
B10,0.047
C10,0.039
D10,0.043
E10,0.041
F10,0.04
G10,0.046
H10,0.029
A11,0.047
B11,0.051
C11,0.039
D11,0.05
E11,0.048
F11,0.042
G11,0.051
H11,0.033
A12,0.042
B12,0.049
C12,0.035
D12,0.045
E12,0.042
F12,0.041
G12,0.049
H12,0.029
